reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
48a1c545-8603-4e39-9b8c-aa6256e7c75c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kurir rekomendasi, tp aslinya sangt tidak direkomendasikan,, LELET terlalu lama TRANSIT, paket dioper sana dioper sini BEDA XPEDISI, . kalau paket HILANG TRACKING NYA JADI SUSAH, HILANG DIXPEDISI APA GAK BISA KETAHUAN KARNA DIPICKUP XPEDISI A, DI ANTER KURIR C BAHKAN BISA 3X HANLDE 1PAKET BEDA XPEDISI CONTOHnya dipickup JNT,. transit digudang JNE, dianter ID XPRESS...",1,0,,2025-10-12 14:27:07,,,
bf504b7e-8989-4ca4-a799-e9cd8290704b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,3.333.0,2025-10-12 13:58:40,,,3.333.0
e3aba066-b54f-48cd-a427-59817f2e36c7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ga tau kenapa.. dengan tokopedia sekarang layanan nya sangat buruk.. pesan dari toko kali deres ke serpong sudah 12hari belom tiba juga.. sy komplent tidak ada tanggapan sama sekali admin tokpednya.. sudah jelas di lacak, barang tidak bisa dikirim tpi komplenan sy tdk di proses tdk balikin dana .",1,1,3.333.0,2025-10-12 13:42:39,,,3.333.0
2071734e-cad6-4567-b7cf-768b4aa50177,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pelayanan kirim lama sekali, respon penjual juga tidak ada",1,0,3.333.0,2025-10-12 13:19:14,,,3.333.0
2234d90c-00a1-437b-a022-fc409479a1f3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sumpah yesal gua Makai apk ini pesanan gak ada update pengiriman mending pake shopee responnya cepat klo ada apa cepat terselesaikan klo Tokopedia tidak sesuai sop,1,0,3.333.0,2025-10-12 13:10:12,,,3.333.0
c0b48255-1295-4d2d-84bb-35d4bd89394a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat asli barang nya,5,0,3.333.0,2025-10-12 12:54:47,,,3.333.0
71a0384d-5403-48b2-aa80-579d93daac68,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Alhamdulillah Sangat memudahkan saya dalam segala hal,5,0,3.333.0,2025-10-12 12:29:05,,,3.333.0
b1a9d6f3-1147-4661-853e-de00dab93617,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mahal jirr,4,0,3.333.0,2025-10-12 12:19:30,,,3.333.0
d33518f1-2a8c-4d80-8634-1c00be220dc9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap...,5,0,3.333.0,2025-10-12 12:09:08,,,3.333.0
b491910d-10a9-4c95-ab0f-a8105faed7f9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Jangan sampai Tokopedia di tinggal pelanggan setia, pdhl aplikasi sebelah lbh mudah pengiriman nya ,mohon Agar selektif lagi memilih kurir rekomendasi, apalagi sap express gila itu pengiriman ga transparan status pengiriman nya out going incoming lah,, ga di jelaskan sampe mana nya,, keliatan ga profesional nya,,lamaaaa, ketika di komplen ,ada kurir menghubungi, tapiiii.... salah pula paket yg mau di kirim nya, hadehhh...",2,0,3.333.0,2025-10-12 12:01:05,,,3.333.0
89d6385a-544a-47ce-b420-c1a863322dd3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus harga murah dan di tambah dengan banyak nya diskon,5,0,,2025-10-12 11:49:21,,,
aaad0f81-ddeb-4bb7-b818-5fdbc1958ed8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,cpat.. dan praktis,5,0,3.333.0,2025-10-12 11:41:59,,,3.333.0
b0d86715-bbed-4516-8abc-d234119381f7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,estimasi bisa berubah sesuka hati!!! kalo gtu tiap kali paket ga sampe di ulur terus estimasi nya payah!! pesenan dari kapan belum sampe² juga di ulur terus²an udah sampe estimasi pengiriman terus ajaa diulur!!!,1,0,3.333.0,2025-10-12 11:41:07,,,3.333.0
